Month,Category,Expenses,%,Income,Diff/Reason
2026-01,Total,5300,1,5700,400
2026-01,Flat,500,0.0943,0.25,
2026-01,Food,490,0.0925,-0.5,
2026-01,Child1,900,0.1698,0.65,
2026-01,Child2,800,0.1509,0.0,
2026-01,Holiday,0,0,-,
2026-01,Vehicles,950,0.1792,-1.95,Vehicle service
2026-01,Insurance,560,0.1057,-0.26,Medical Costs
2026-01,Pension,0,0,-,
2026-01,Extra,1090,0.2057,-10.0,Concert tickets
2026-01,Other,10,0.0019,0.99,
2026-01,Unclassified,0,0,,
2026-02,Total,4600,1,5750,1150
2026-02,Flat,500,0.1087,0.25,
2026-02,Food,210,0.0457,0.57,
2026-02,Child1,720,0.1565,0.55,
2026-02,Child2,800,0.1739,0.0,
2026-02,Holiday,0,0,-,
2026-02,Vehicles,1300,0.2826,-1.86,Car Service
2026-02,Insurance,310,0.0674,0.37,
2026-02,Pension,0,0,-,
2026-02,Extra,20,0.0043,0.96,
2026-02,Other,740,0.1609,0.7,
2026-02,Unclassified,0,0,,
