Source,Date,Text,Amount,Category,SubCategory,Notes,Balance,Actual
CC,10.05.2026,Supermarket A CHE,6.5,Food,Out,,,
CC,30.05.2026,Burger Joint CHE,9,Food,Out,,,
CC,06.05.2026,APPLE.COM/BILL,22,Extra,Music,App subscription,,
CC,25.05.2026,Supermarket B CHE,9.5,Food,Out,,,
CC,22.05.2026,Music Store CHE,26,Extra,Music,,,
CC,14.05.2026,Minimarket CHE,10.5,Food,Out,,,
CC,29.05.2026,Bakery CHE,11,Food,Out,,,
CC,01.05.2026,Fast Food CHE,12.7,Food,Out,,,
CC,20.05.2026,Cafe CHE,15,Food,Out,,,
CC,09.05.2026,Supermarket KRAP,15.65,Food,Out,,,
CC,06.05.2026,Restaurant CHE,35.8,Food,Out,,,
Bank,21.05.2026,"Pizzeria Molto Bene",16,Food,Out,,17000,
CC,30.05.2026,Train Tickets CHE,38.4,Vehicles,Transport,,,
CC,25.05.2026,Gas Station CHE,39,Vehicles,Petrol,,,
